iteration,p_upstream_kinematic,p_outlet_kinematic,p_step_kinematic,static_pressure_delta_pa,total_pressure_drop_pa,p_step_abs_pa
190,-2718.53,1.39216,-2900.81,-3331.904646,740.3073518,97771.50775
191,-2718.42,1.4415,-2900.7,-3331.830338,740.9211089,97771.6425
192,-2718.29,1.4887,-2900.56,-3331.728907,741.529626,97771.814
193,-2718.13,1.53257,-2900.39,-3331.586648,742.1466193,97772.02225
194,-2717.94,1.57127,-2900.2,-3331.401306,742.7635588,97772.255
195,-2717.74,1.60339,-2899.99,-3331.195653,743.3792543,97772.51225
196,-2717.56,1.6278,-2899.81,-3331.005055,743.9475509,97772.73275
197,-2717.4,1.64387,-2899.65,-3330.828741,744.4692186,97772.92875
198,-2717.29,1.65147,-2899.54,-3330.703301,744.9292396,97773.0635
199,-2717.22,1.65121,-2899.46,-3330.617232,745.3391106,97773.1615
200,-2717.17,1.64417,-2899.41,-3330.547358,745.7112153,97773.22275
201,-2717.14,1.63159,-2899.38,-3330.495198,746.0440304,97773.2595
202,-2717.12,1.61456,-2899.36,-3330.449836,746.3700382,97773.284
203,-2717.11,1.59394,-2899.34,-3330.412327,746.6666076,97773.3085
204,-2717.09,1.57044,-2899.32,-3330.359039,746.9681524,97773.333
205,-2717.07,1.54473,-2899.3,-3330.303044,747.2508132,97773.3575
206,-2717.05,1.51756,-2899.28,-3330.245261,747.5352415,97773.382
207,-2717.03,1.48975,-2899.25,-3330.186694,747.8096453,97773.41875
208,-2717.01,1.46217,-2899.23,-3330.128408,748.0729592,97773.44325
209,-2716.99,1.43564,-2899.21,-3330.071409,748.3349634,97773.46775
210,-2716.97,1.4109,-2899.19,-3330.016602,748.5731833,97773.49225
211,-2716.96,1.38861,-2899.18,-3329.977047,748.7961306,97773.5045
212,-2716.95,1.36923,-2899.17,-3329.941057,749.0154927,97773.51675
213,-2716.94,1.3532,-2899.16,-3329.90917,749.2199489,97773.529
214,-2716.93,1.34082,-2899.14,-3329.881754,749.4091338,97773.5535
215,-2716.91,1.33225,-2899.13,-3329.846756,749.6058869,97773.56575
216,-2716.9,1.3275,-2899.11,-3329.828688,749.7749154,97773.59025
217,-2716.88,1.32642,-2899.1,-3329.802865,749.9409053,97773.6025
218,-2716.86,1.32873,-2899.08,-3329.781194,750.1027345,97773.627
219,-2716.84,1.33397,-2899.05,-3329.763113,750.2609689,97773.66375
220,-2716.81,1.34161,-2899.03,-3329.735722,750.4177271,97773.68825
221,-2716.78,1.35112,-2899,-3329.710622,750.5614097,97773.725
222,-2716.75,1.36202,-2898.97,-3329.687225,750.703389,97773.76175
223,-2716.72,1.37391,-2898.93,-3329.66504,750.833374,97773.81075
224,-2716.68,1.38636,-2898.9,-3329.631291,750.9749244,97773.8475
225,-2716.65,1.3989,-2898.86,-3329.609903,751.0933349,97773.8965
226,-2716.62,1.41105,-2898.83,-3329.588036,751.2122262,97773.93325
227,-2716.59,1.42245,-2898.8,-3329.565251,751.321258,97773.97
