time,field,initial_residual,final_residual,linear_iterations
122,p,0.0365211,0.00026429,4
122,omega,0.00115135,7.73446e-05,1
122,k,0.00259594,0.000229222,1
123,Ux,0.00203402,2.84522e-05,2
123,Uy,0.00904001,0.000716492,1
123,p,0.0348249,0.000255538,4
123,omega,0.00109437,7.38836e-05,1
123,k,0.00248615,0.000221633,1
124,Ux,0.0019394,2.7433e-05,2
124,Uy,0.00879807,0.000691088,1
124,p,0.0332319,0.000245283,4
124,omega,0.00104159,7.07453e-05,1
124,k,0.00238688,0.00021491,1
125,Ux,0.00185552,2.65127e-05,2
125,Uy,0.00865443,0.000683803,1
125,p,0.0316896,0.000234734,4
125,omega,0.000994364,6.79521e-05,1
125,k,0.00229767,0.000208961,1
126,Ux,0.00177831,2.57352e-05,2
126,Uy,0.00850842,0.000676998,1
126,p,0.0301668,0.000223985,4
126,omega,0.000950427,6.53915e-05,1
126,k,0.00221568,0.000203681,1
127,Ux,0.00170658,2.51002e-05,2
127,Uy,0.00829128,0.000664464,1
127,p,0.0288318,0.000210702,4
127,omega,0.000911695,6.31033e-05,1
127,k,0.00214151,0.000198913,1
128,Ux,0.00164276,2.45586e-05,2
128,Uy,0.007982,0.00064407,1
128,p,0.0276025,0.000197251,4
128,omega,0.000875674,6.10108e-05,1
128,k,0.00207446,0.000194486,1
129,Ux,0.00159237,2.40772e-05,2
129,Uy,0.00761594,0.000614008,1
129,p,0.0263901,0.000188304,4
129,omega,0.000843683,5.90844e-05,1
129,k,0.00201355,0.000190339,1
130,Ux,0.00155045,2.35961e-05,2
130,Uy,0.00717668,0.000576717,1
130,p,0.0252117,0.000182538,4
130,omega,0.000814088,5.71893e-05,1
130,k,0.00195763,0.000186205,1
131,Ux,0.00151483,2.30401e-05,2
131,Uy,0.00672526,0.000537027,1
131,p,0.0240111,0.000174424,4
131,omega,0.000786705,5.53068e-05,1
131,k,0.00190432,0.000181829,1
132,Ux,0.0014818,2.23797e-05,2
132,Uy,0.00632955,0.000498148,1
132,p,0.022897,0.000164439,4
132,omega,0.000759085,5.33861e-05,1
132,k,0.00185078,0.000177189,1
133,Ux,0.00144731,2.16141e-05,2
133,Uy,0.00598728,0.00046775,1
133,p,0.0219202,0.00015429,4
133,omega,0.000732522,5.14302e-05,1
133,k,0.00179508,0.000172379,1
134,Ux,0.0014087,2.0761e-05,2
134,Uy,0.00570047,0.000444566,1
134,p,0.0209241,0.000147651,4
134,omega,0.000705863,4.94334e-05,1
134,k,0.00173815,0.000167399,1
135,Ux,0.00136433,1.98453e-05,2
135,Uy,0.00544522,0.000425263,1
135,p,0.0199558,0.000142415,4
135,omega,0.000678789,4.74139e-05,1
135,k,0.00168079,0.00016218,1
136,Ux,0.00131382,1.88916e-05,2
136,Uy,0.00521133,0.000409703,1
136,p,0.0190917,0.000135548,4
136,omega,0.000652136,4.54063e-05,1
136,k,0.0016226,0.00015672,1
137,Ux,0.00125808,1.79257e-05,2
137,Uy,0.00500157,0.000396548,1
137,p,0.0182784,0.000127255,4
137,omega,0.000625678,4.34082e-05,1
137,k,0.00156325,0.000151117,1
138,Ux,0.00119973,1.69635e-05,2
138,Uy,0.00480242,0.000384819,1
138,p,0.0175164,0.000119924,4
138,omega,0.000600088,4.14363e-05,1
138,k,0.00150334,0.000145428,1
139,Ux,0.00113981,1.60209e-05,2
139,Uy,0.00459389,0.000370874,1
139,p,0.01678,0.000114004,4
139,omega,0.000574817,3.95052e-05,1
139,k,0.0014432,0.000139697,1
140,Ux,0.00108031,1.51055e-05,2
140,Uy,0.004389,0.000355452,1
140,p,0.016093,0.000110463,4
140,omega,0.000551007,3.76126e-05,1
140,k,0.0013833,0.000133981,1
141,Ux,0.00102082,1.4226e-05,2
141,Uy,0.00418709,0.000338838,1
141,p,0.0153724,0.000108072,4
141,omega,0.000528031,3.57828e-05,1
141,k,0.00132374,0.000128326,1
142,Ux,0.000964619,1.33905e-05,2
142,Uy,0.00399203,0.000321134,1
142,p,0.0146669,0.00010797,4
142,omega,0.000505828,3.40315e-05,1
142,k,0.00126496,0.00012279,1
143,Ux,0.00091318,1.2608e-05,2
143,Uy,0.00379434,0.000303356,1
143,p,0.0140152,0.000109542,4
143,omega,0.000484537,3.23644e-05,1
143,k,0.00120787,0.000117431,1
144,Ux,0.000864265,1.18853e-05,2
144,Uy,0.00361784,0.000285555,1
144,p,0.0133915,0.000111048,4
144,omega,0.000463946,3.07833e-05,1
144,k,0.0011529,0.000112257,1
145,Ux,0.000818218,1.12323e-05,2
145,Uy,0.00344968,0.000268574,1
145,p,0.0127842,0.000109862,4
145,omega,0.000444068,2.92763e-05,1
145,k,0.00110039,0.000107258,1
146,Ux,0.000775949,1.06426e-05,2
146,Uy,0.0032823,0.000253763,1
146,p,0.0121869,0.000107153,4
146,omega,0.000424936,2.78295e-05,1
146,k,0.00105031,0.00010245,1
147,Ux,0.000737094,1.01027e-05,2
147,Uy,0.00312729,0.000239881,1
147,p,0.011685,0.000102032,4
147,omega,0.000406913,2.64429e-05,1
147,k,0.00100272,9.78314e-05,1
148,Ux,0.000700051,9.60494e-06,2
148,Uy,0.00297683,0.000226283,1
148,p,0.0111695,9.69244e-05,4
148,omega,0.000389734,2.51146e-05,1
