iteration,p_upstream_kinematic,p_outlet_kinematic,p_step_kinematic,static_pressure_delta_pa,total_pressure_drop_pa,p_step_abs_pa
280,-2795.06,0.387565,-3026.56,-3424.423267,655.8356918,97617.464
281,-2789.54,-0.0923482,-3019.84,-3417.073373,672.9535214,97625.696
282,-2784.27,-0.570089,-3013.34,-3410.032391,692.33467,97633.6585
283,-2779.46,-1.00297,-3007.24,-3403.609862,713.3208037,97641.131
284,-2775.26,-1.36043,-3001.64,-3398.026973,735.3410812,97647.991
285,-2771.66,-1.61061,-2996.61,-3393.310503,758.0286255,97654.15275
286,-2768.59,-1.72063,-2992.16,-3389.414978,781.0980701,97659.604
287,-2765.89,-1.66331,-2988.22,-3386.177695,804.3692932,97664.4305
288,-2763.32,-1.41886,-2984.6,-3383.328897,827.7899914,97668.865
289,-2760.89,-0.985276,-2981.3,-3380.883287,850.9710739,97672.9075
290,-2758.55,-0.370572,-2978.25,-3378.769799,873.5699898,97676.64375
291,-2756.3,0.405014,-2975.46,-3376.963642,895.1189677,97680.0615
292,-2754.18,1.30843,-2972.95,-3375.473327,915.0615947,97683.13625
293,-2752.07,2.29864,-2970.59,-3374.101584,932.9720169,97686.02725
294,-2750.24,3.31822,-2968.63,-3373.10882,947.9646168,97688.42825
295,-2749.53,4.26132,-2967.11,-3373.394367,958.6252057,97690.29025
296,-2748.78,5.19255,-2966.17,-3373.616374,965.7191041,97691.44175
297,-2748.21,6.04084,-2965.9,-3373.957279,968.526881,97691.7725
298,-2748.02,6.7485,-2966.24,-3374.591413,966.4772688,97691.356
299,-2748.34,7.2692,-2967.13,-3375.62127,959.2072207,97690.26575
300,-2749.23,7.56889,-2968.49,-3377.07864,946.695296,97688.59975
301,-2750.39,7.57204,-2970.29,-3378.503499,929.7262164,97686.39475
302,-2751.95,7.36799,-2972.17,-3380.164538,908.5807023,97684.09175
303,-2753.73,6.98168,-2974.01,-3381.871808,884.2929265,97681.83775
304,-2755.74,6.45714,-2975.9,-3383.691497,857.8277275,97679.5225
305,-2757.59,5.84404,-2977.59,-3385.206699,830.6986295,97677.45225
