time,field,initial_residual,final_residual,linear_iterations
91,k,0.0115652,0.000696401,2
92,Ux,0.00288873,0.000174062,2
92,Uy,0.0122135,0.000810156,2
92,p,0.0871241,0.000849562,4
92,omega,0.00244536,0.000121204,2
92,k,0.0113883,0.000687154,2
93,Ux,0.00284532,0.000171361,2
93,Uy,0.0121982,0.000807145,2
93,p,0.0871279,0.000408489,5
93,omega,0.00241434,0.000119446,2
93,k,0.011215,0.000677896,2
94,Ux,0.00280365,0.000168835,2
94,Uy,0.0121836,0.000805429,2
94,p,0.0862507,0.000836213,4
94,omega,0.00239097,0.000117641,2
94,k,0.0110477,0.000668802,2
95,Ux,0.00276351,0.000166598,2
95,Uy,0.0121479,0.000802581,2
95,p,0.0853711,0.000415821,5
95,omega,0.00236226,0.000115824,2
95,k,0.0108707,0.000659573,2
96,Ux,0.00272402,0.000164347,2
96,Uy,0.0120795,0.000798793,2
96,p,0.0831626,0.00079528,4
96,omega,0.00232786,0.000113875,2
96,k,0.0106952,0.000650112,2
97,Ux,0.00268327,0.000162081,2
97,Uy,0.0120204,0.000795182,2
97,p,0.0810744,0.000393013,5
97,omega,0.00229354,0.000111844,2
97,k,0.0105152,0.000640291,2
98,Ux,0.00264643,0.000160133,2
98,Uy,0.0119155,0.000790259,2
98,p,0.0790078,0.000754679,4
98,omega,0.00225244,0.000109693,2
98,k,0.0103322,0.00063031,2
99,Ux,0.00260923,0.000158336,2
99,Uy,0.0118173,0.000784302,2
99,p,0.0767761,0.00038975,5
99,omega,0.00219944,0.000107489,2
99,k,0.0101392,0.000619765,2
100,Ux,0.00257164,0.000156441,2
100,Uy,0.0116812,0.000777634,2
100,p,0.07459,0.000702437,4
100,omega,0.00215224,0.000105155,2
100,k,0.00994406,0.000608979,2
101,Ux,0.00253693,0.000154822,2
101,Uy,0.011516,0.000770022,2
101,p,0.0729553,0.000369125,5
101,omega,0.0021007,0.000102686,2
101,k,0.00974246,0.000597875,2
102,Ux,0.00250119,0.000153183,2
102,Uy,0.0113571,0.000761495,2
102,p,0.0706932,0.000639389,4
102,omega,0.00204146,0.000100197,2
102,k,0.00953757,0.00058662,2
103,Ux,0.00247101,0.000151798,2
103,Uy,0.0111734,0.000752236,2
103,p,0.0688814,0.000662718,4
103,omega,0.00198562,9.76991e-05,2
103,k,0.00933366,0.00057538,2
104,Ux,0.00244338,0.000150467,2
104,Uy,0.0109589,0.000742139,2
104,p,0.0670881,0.000309787,5
104,omega,0.00193703,9.51753e-05,2
104,k,0.0091307,0.000563803,2
105,Ux,0.00241314,0.000149125,2
105,Uy,0.0107596,0.000731288,2
105,p,0.0650201,0.000596946,4
105,omega,0.00188381,9.26887e-05,2
105,k,0.00893316,0.000552883,2
106,Ux,0.00238928,0.000148034,2
106,Uy,0.0105374,0.000720103,2
106,p,0.0633943,0.000610048,4
106,omega,0.00182984,9.03239e-05,2
106,k,0.00873628,0.000541922,2
107,Ux,0.00236677,0.000147031,2
107,Uy,0.0103173,0.000708443,2
107,p,0.061725,0.000324774,5
107,omega,0.00178173,8.80119e-05,2
107,k,0.00855052,0.000531282,2
108,Ux,0.00234357,0.000145995,2
108,Uy,0.0100912,0.000696274,2
108,p,0.0602775,0.000541565,4
108,omega,0.00173411,8.5777e-05,2
108,k,0.00836512,0.00052084,2
109,Ux,0.00232492,0.000145167,2
109,Uy,0.00986466,0.000684026,2
109,p,0.0588845,0.000570388,4
109,omega,0.00168828,8.36289e-05,2
109,k,0.00818355,0.000510525,2
110,Ux,0.00230962,0.000144368,2
110,Uy,0.00965462,0.000671618,2
110,p,0.0571983,0.000355386,5
110,omega,0.00164745,8.15662e-05,2
110,k,0.00800465,0.000500297,2
111,Ux,0.00229302,0.000143443,2
111,Uy,0.00944511,0.000659198,2
111,p,0.0557665,0.000512915,4
111,omega,0.0016114,7.96097e-05,2
111,k,0.00783045,0.000490409,2
112,Ux,0.00228212,0.000142665,2
112,Uy,0.00924758,0.000647293,2
112,p,0.0549256,0.000534281,4
112,omega,0.00157982,7.77754e-05,2
112,k,0.00765872,0.00048043,2
113,Ux,0.00227151,0.000141932,2
113,Uy,0.00907391,0.000635693,2
113,p,0.0542673,0.000373054,5
113,omega,0.00155025,7.59684e-05,2
113,k,0.00749079,0.000470336,2
114,Ux,0.0022588,0.000140997,2
114,Uy,0.00890975,0.000624547,2
114,p,0.0535053,0.000475475,4
114,omega,0.00152221,7.42326e-05,2
114,k,0.007323,0.000460176,2
115,Ux,0.00224904,0.00014023,2
115,Uy,0.00875994,0.000614281,2
115,p,0.0532139,0.000478387,4
115,omega,0.00149456,7.2576e-05,2
115,k,0.00715556,0.000449718,2
116,Ux,0.00223868,0.000139403,2
116,Uy,0.00862497,0.000604678,2
116,p,0.0529432,0.000494711,4
116,omega,0.00146947,7.09409e-05,2
116,k,0.00698803,0.000439293,2
117,Ux,0.00222695,0.000138486,2
117,Uy,0.0084988,0.000595803,2
117,p,0.052336,0.000520726,4
117,omega,0.00144414,6.93307e-05,2
117,k,0.00681992,0.000428556,2
118,Ux,0.00221491,0.0001375,2
118,Uy,0.00838456,0.000587673,2
118,p,0.0516042,0.000337798,5
118,omega,0.00142063,6.77773e-05,2
118,k,0.00665127,0.000417635,2
119,Ux,0.00219929,0.000136284,2
119,Uy,0.00828363,0.000580223,2
119,p,0.0508967,0.000434485,4
119,omega,0.00140093,6.62905e-05,2
119,k,0.00648293,0.000406718,2
120,Ux,0.00218647,0.000135269,2
120,Uy,0.008194,0.000573538,2
120,p,0.0504435,0.000420454,4
120,omega,0.00138155,6.49063e-05,2
120,k,0.00631579,0.000395507,2
121,Ux,0.00217257,0.000134191,2
121,Uy,0.00811245,0.000567319,2
121,p,0.0499922,0.00041665,4
121,omega,0.00136462,6.35787e-05,2
121,k,0.00615029,0.000384324,2
