iteration,p_upstream_kinematic,p_outlet_kinematic,p_step_kinematic,static_pressure_delta_pa,total_pressure_drop_pa,p_step_abs_pa
188,-2913.92,4.84046,-3258.15,-3575.481563,1060.323811,97333.76625
189,-2917.07,4.84133,-3264.18,-3579.341379,1055.622675,97326.3795
190,-2919.33,4.84609,-3268.15,-3582.11571,1051.996801,97321.51625
191,-2920.39,4.85087,-3269.86,-3583.420066,1049.840816,97319.4215
192,-2920.11,4.85488,-3269.13,-3583.081978,1049.327188,97320.31575
193,-2918.63,4.85575,-3266.08,-3581.270044,1050.277179,97324.052
194,-2916.26,4.856,-3260.86,-3578.3671,1052.328234,97330.4465
195,-2913.45,4.85397,-3253.73,-3574.922363,1054.920994,97339.18075
196,-2910.62,4.84892,-3244.93,-3571.449427,1057.541868,97349.96075
197,-2908.12,4.84048,-3234.67,-3568.376588,1059.762558,97362.52925
198,-2905.83,4.8293,-3222.87,-3565.557642,1061.729268,97376.98425
199,-2903.52,4.81641,-3209.42,-3562.712102,1063.722487,97393.4605
200,-2900.84,4.80348,-3194.19,-3559.413263,1066.179066,97412.11725
201,-2897.56,4.7915,-3177.13,-3555.380587,1069.369397,97433.01575
202,-2893.62,4.78182,-3158.35,-3550.54223,1073.365326,97456.02125
203,-2889.17,4.77539,-3138.13,-3545.083103,1077.98194,97480.79075
204,-2884.18,4.7749,-3116.51,-3538.969753,1083.252693,97507.27525
205,-2878.84,4.77276,-3093.69,-3532.425631,1088.954132,97535.22975
206,-2873.17,4.76997,-3069.73,-3525.476463,1095.060534,97564.58075
207,-2867.06,4.77246,-3044.59,-3517.994764,1101.699382,97595.37725
208,-2860.72,4.77432,-3018.6,-3510.230542,1108.630825,97627.215
209,-2854.59,4.77022,-2992.31,-3502.71627,1115.302079,97659.42025
210,-2848.62,4.76723,-2965.78,-3495.399357,1121.775889,97691.9195
211,-2842.74,4.76518,-2939.08,-3488.193845,1128.148372,97724.627
212,-2836.8,4.76343,-2912.24,-3480.915202,1134.583745,97757.506
213,-2830.64,4.76109,-2885.23,-3473.366335,1141.299417,97790.59325
214,-2824.31,4.75624,-2858.25,-3465.606144,1148.226332,97823.64375
215,-2818.03,4.75003,-2831.64,-3457.905537,1155.093581,97856.241
216,-2811.89,4.74271,-2805.57,-3450.37507,1161.790607,97888.17675
217,-2805.97,4.72838,-2780.14,-3443.105515,1168.226638,97919.3285
218,-2799.95,4.72248,-2755.12,-3435.723788,1174.784926,97949.978
219,-2793.9,4.71673,-2730.6,-3428.305494,1181.369532,97980.015
220,-2787.88,4.70613,-2706.73,-3420.918009,1187.933416,98009.25575
221,-2781.93,4.70337,-2683.58,-3413.625878,1194.401865,98037.6145
222,-2776.22,4.70036,-2661.36,-3406.627441,1200.576541,98064.834
223,-2770.69,4.69673,-2640.06,-3399.848744,1206.531395,98090.9265
224,-2765.25,4.69235,-2619.63,-3393.179379,1212.38701,98115.95325
225,-2759.91,4.68745,-2600.12,-3386.631876,1218.11051,98139.853
226,-2754.74,4.68272,-2581.64,-3380.292832,1223.625472,98162.491
227,-2749.93,4.67914,-2564.47,-3374.396197,1228.708119,98183.52425
228,-2745.48,4.67705,-2548.74,-3368.942386,1233.347863,98202.7935
229,-2741.21,4.67621,-2534.39,-3363.710607,1237.75532,98220.37225
230,-2736.94,4.67616,-2521.3,-3358.479796,1242.171907,98236.4075
231,-2732.55,4.6761,-2509.34,-3353.101973,1246.735428,98251.0585
232,-2728.05,4.67367,-2498.46,-3347.586496,1251.436524,98264.3865
233,-2723.53,4.67007,-2488.64,-3342.045086,1256.153293,98276.416
234,-2719.25,4.66569,-2480.1,-3336.79672,1260.587119,98286.8775
235,-2715.41,4.66109,-2472.99,-3332.087085,1264.482137,98295.58725
236,-2712.08,4.65649,-2467.35,-3328.0022,1267.76251,98302.49625
237,-2709.25,4.65221,-2463.13,-3324.530207,1270.419729,98307.66575
238,-2707.01,4.64239,-2460.42,-3321.774178,1272.360906,98310.9855
239,-2705.28,4.63378,-2459.16,-3319.644381,1273.685959,98312.529
240,-2703.98,4.62749,-2459.28,-3318.044175,1274.471156,98312.382
241,-2703.1,4.62405,-2460.81,-3316.961961,1274.748471,98310.50775
242,-2702.64,4.62278,-2463.76,-3316.396906,1274.508552,98306.894
243,-2702.53,4.62269,-2468.08,-3316.262045,1273.828169,98301.602
244,-2702.78,4.62274,-2473.78,-3316.568357,1272.716728,98294.6195
245,-2703.38,4.62215,-2480.84,-3317.302634,1271.167051,98285.971
246,-2704.31,4.6204,-2489.22,-3318.43974,1269.224661,98275.7055
247,-2705.65,4.61716,-2498.98,-3320.077271,1266.771573,98263.7495
248,-2707.61,4.61217,-2510.22,-3322.472158,1263.571246,98249.9805
249,-2710.46,4.60506,-2523.13,-3325.954699,1259.283189,98234.16575
250,-2714.44,4.59642,-2537.79,-3330.819615,1253.602482,98216.20725
251,-2719.5,4.58753,-2554.1,-3337.007224,1246.6092,98196.2275
252,-2725.42,4.57957,-2571.87,-3344.249473,1238.561201,98174.45925
253,-2731.8,4.57398,-2590.71,-3352.058126,1229.946721,98151.38025
254,-2738.33,4.57074,-2610.31,-3360.053407,1221.145535,98127.37025
255,-2744.87,4.56917,-2630.47,-3368.062983,1212.329976,98102.67425
256,-2751.47,4.56835,-2651.16,-3376.146979,1203.439919,98077.329
257,-2758.21,4.56758,-2672.34,-3384.402536,1194.378223,98051.3835
258,-2765.2,4.56651,-2693.97,-3392.963975,1185.000361,98024.88675
259,-2772.44,4.56505,-2715.97,-3401.831186,1175.326852,97997.93675
260,-2779.99,4.56324,-2738.23,-3411.077719,1165.273943,97970.66825
261,-2787.88,4.56109,-2760.7,-3420.740335,1154.794663,97943.1425
262,-2796.15,4.55862,-2783.32,-3430.86806,1143.850193,97915.433
263,-2804.81,4.55582,-2806.01,-3441.47313,1132.438505,97887.63775
264,-2813.84,4.55265,-2828.69,-3452.530996,1120.56373,97859.85475
265,-2823.2,4.54905,-2851.26,-3463.992586,1108.29536,97832.2065
266,-2832.78,4.54504,-2873.56,-3475.723174,1095.747698,97804.889
267,-2842.41,4.5407,-2895.41,-3487.514608,1083.139106,97778.12275
268,-2851.93,4.5362,-2916.57,-3499.171095,1070.67559,97752.20175
269,-2861.14,4.53181,-2936.84,-3510.447967,1058.58139,97727.371
270,-2869.86,4.52778,-2956.04,-3521.125031,1047.09713,97703.851
271,-2877.96,4.52423,-2974.02,-3531.043182,1036.361478,97681.8255
272,-2885.4,4.52106,-2990.75,-3540.153299,1026.443992,97661.33125
273,-2892.26,4.51801,-3006.27,-3548.553062,1017.226552,97642.31925
274,-2898.69,4.51474,-3020.7,-3556.425807,1008.546261,97624.6425
275,-2904.78,4.51108,-3034.07,-3563.881573,1000.282858,97608.26425
276,-2910.58,4.50708,-3046.38,-3570.981673,992.3750311,97593.1845
277,-2916.09,4.50273,-3057.62,-3577.726094,984.8227895,97579.4155
